"nhs_region","trust_type","trust_name","provider_code","wk_start","wk","hcai_group","n","ecds_last_update","sus_last_update","drop"
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-04-20,16,"HO.pHA",9,2020-04-18,2020-05-04,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-04-27,17,"CO",7,2020-05-03,2020-06-23,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-04-27,17,"HO.HA",4,2020-04-03,2020-05-05,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-04-27,17,"HO.iHA",15,2020-04-21,2020-05-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-04-27,17,"HO.pHA",2,2020-04-18,2020-05-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-04-27,17,"Unlinked",7,2020-02-04,2020-02-18,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-05-04,18,"CO",7,2020-05-14,2020-06-04,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-05-04,18,"HO.HA",8,2020-04-19,2020-05-12,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-05-11,19,"CO",3,2020-05-26,2020-05-26,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-05-11,19,"HO.iHA",4,2020-05-11,2020-05-29,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-05-11,19,"HO.pHA",2,2020-05-03,2020-05-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-05-18,20,"CO",4,2020-06-03,2020-05-31,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-05-25,21,"CO",2,2020-06-11,2020-06-25,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-06-01,22,"CO",11,2020-05-31,2020-06-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-06-08,23,"CO",11,NA,2020-06-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-06-08,23,"Unlinked",1,2019-12-21,2020-03-23,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3307","KRQ",2020-06-15,24,"CO",1,NA,2020-06-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-02,9,"Unlinked",10,2020-01-27,2020-01-29,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-09,10,"CO",7,2020-03-15,2020-03-16,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-09,10,"HO.HA",2,2020-01-23,2020-03-17,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-09,10,"HO.iHA",1,NA,2020-03-14,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-09,10,"HO.pHA",3,NA,2020-03-17,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-09,10,"Unlinked",16,2020-03-06,2020-03-06,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-16,11,"CO",12,2020-03-22,2020-05-13,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-16,11,"HO.HA",10,2020-02-03,2020-04-28,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-16,11,"HO.iHA",6,2020-03-20,2020-05-19,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-16,11,"HO.pHA",7,2020-03-12,2020-04-09,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-16,11,"Unlinked",28,2020-03-19,2020-03-20,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-23,12,"CO",69,2020-03-29,2020-05-01,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-23,12,"HO.HA",17,2020-03-13,2020-04-30,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-23,12,"HO.iHA",0,2020-03-27,2020-04-19,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-23,12,"HO.pHA",15,2020-03-16,2020-04-17,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-23,12,"Unlinked",112,2020-03-28,2020-04-13,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-30,13,"CO",106,2020-04-19,2020-06-18,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-30,13,"HO.HA",14,2020-03-14,2020-05-20,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-30,13,"HO.iHA",7,2020-03-31,2020-04-11,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-30,13,"HO.pHA",10,2020-03-22,2020-04-29,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-03-30,13,"Unlinked",141,2020-05-23,2020-07-25,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-06,14,"CO",42,2020-04-17,2020-05-12,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-06,14,"HO.iHA",9,2020-04-08,2020-05-17,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-06,14,"Unlinked",53,2020-07-12,2020-07-02,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-13,15,"CO",36,2020-05-01,2020-05-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-13,15,"HO.HA",0,NA,2020-04-14,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-13,15,"HO.iHA",9,2020-04-15,2020-05-31,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-13,15,"HO.pHA",0,2020-04-09,2020-05-27,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-13,15,"Unlinked",176,2020-07-27,2020-08-04,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-20,16,"CO",13,2020-05-01,2020-05-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-20,16,"HO.iHA",4,2020-04-23,2020-04-27,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-20,16,"HO.pHA",2,2020-04-17,2020-05-07,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-20,16,"Unlinked",33,2020-07-05,2020-06-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-27,17,"CO",13,2020-05-09,2020-06-16,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-27,17,"HO.iHA",2,2020-04-25,2020-05-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-04-27,17,"Unlinked",97,2020-07-31,2020-07-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-04,18,"CO",14,2020-05-20,2020-06-02,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-04,18,"HO.HA",10,2020-04-20,2020-05-07,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-04,18,"HO.iHA",0,2020-05-03,2020-05-06,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-04,18,"Unlinked",23,2020-06-08,2020-06-12,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-11,19,"CO",2,2020-05-25,2020-05-22,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-11,19,"HO.HA",7,2020-05-01,2020-05-28,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-11,19,"HO.pHA",7,NA,2020-05-13,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-11,19,"Unlinked",14,2020-05-12,2020-05-06,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-18,20,"CO",5,2020-05-25,2020-05-26,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-18,20,"Unlinked",9,2020-05-18,2020-05-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-25,21,"CO",1,2020-05-28,2020-06-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-05-25,21,"Unlinked",11,2020-05-07,2020-03-16,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-06-01,22,"CO",11,2020-06-15,2020-06-23,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-06-01,22,"Unlinked",15,2020-06-01,2020-06-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-06-08,23,"Unlinked",4,2020-04-28,2020-05-10,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-06-15,24,"CO",15,2020-06-18,2020-06-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-06-22,25,"CO",17,NA,2020-07-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-06-22,25,"Unlinked",5,NA,2020-08-01,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-06-29,26,"Unlinked",9,2020-02-14,NA,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-07-06,27,"CO",5,NA,2020-07-23,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-07-13,28,"CO",7,NA,2020-07-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-07-20,29,"HO.iHA",10,2020-07-19,2020-07-25,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-07-20,29,"Unlinked",5,2020-07-15,2020-07-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3347","JIO",2020-07-27,30,"CO",12,2020-08-01,2020-07-31,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-02-24,8,"Unlinked",3,NA,2020-02-27,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-02,9,"CO",4,2020-03-07,2020-03-11,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-02,9,"Unlinked",2,2020-03-04,NA,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-09,10,"CO",18,2020-03-15,2020-05-12,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-09,10,"HO.HA",6,2020-02-26,2020-04-01,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-09,10,"HO.iHA",3,2020-03-11,2020-04-17,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-09,10,"HO.pHA",13,2020-03-06,2020-04-02,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-09,10,"Unlinked",24,2020-03-12,2020-03-07,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-16,11,"CO",28,2020-03-22,2020-04-30,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-16,11,"HO.HA",18,2020-03-05,2020-04-28,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-16,11,"HO.iHA",14,2020-03-18,2020-05-02,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-16,11,"HO.pHA",8,2020-03-13,2020-04-07,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-16,11,"Unlinked",78,2020-03-21,2020-04-10,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-23,12,"CO",86,2020-03-30,2020-05-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-23,12,"HO.HA",15,2020-03-13,2020-05-05,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-23,12,"HO.iHA",13,2020-03-27,2020-05-07,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-23,12,"HO.pHA",15,2020-03-19,2020-05-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-23,12,"Unlinked",44,2020-03-26,2020-04-14,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-30,13,"CO",24,2020-04-06,2020-07-02,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-30,13,"HO.HA",9,2020-03-13,2020-07-09,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-30,13,"HO.iHA",16,2020-03-31,2020-06-20,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-30,13,"HO.pHA",13,2020-03-28,2020-05-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-03-30,13,"Unlinked",177,2020-04-14,2020-06-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-06,14,"CO",59,2020-04-23,2020-07-07,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-06,14,"HO.HA",11,2020-03-22,2020-06-04,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-06,14,"HO.iHA",11,2020-04-10,2020-04-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-06,14,"HO.pHA",7,2020-04-03,2020-05-28,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-06,14,"Unlinked",15,2020-05-10,2020-05-11,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-13,15,"CO",51,2020-04-28,2020-06-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-13,15,"HO.HA",14,2020-03-30,2020-04-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-13,15,"HO.iHA",2,2020-04-17,2020-05-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-13,15,"HO.pHA",5,2020-03-31,2020-04-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-13,15,"Unlinked",11,2020-05-09,2020-05-22,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-20,16,"CO",17,2020-05-02,2020-05-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-20,16,"HO.HA",5,2020-04-01,2020-06-27,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-20,16,"HO.iHA",7,2020-04-22,2020-07-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-20,16,"HO.pHA",5,2020-04-13,2020-06-13,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-20,16,"Unlinked",41,2020-06-07,2020-06-12,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-27,17,"CO",17,2020-05-14,2020-05-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-27,17,"HO.HA",7,2020-04-09,2020-06-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-27,17,"HO.iHA",3,2020-04-25,2020-06-25,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-27,17,"HO.pHA",13,2020-04-23,2020-06-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-04-27,17,"Unlinked",22,2020-04-19,2020-04-17,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-04,18,"CO",19,2020-05-15,2020-06-12,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-04,18,"HO.HA",6,2020-04-18,2020-06-09,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-04,18,"HO.iHA",6,2020-05-03,2020-06-04,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-04,18,"HO.pHA",6,2020-04-26,2020-05-04,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-04,18,"Unlinked",7,2020-05-04,2020-05-06,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-11,19,"CO",6,2020-05-21,2020-06-11,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-11,19,"HO.HA",6,2020-04-29,2020-05-26,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-11,19,"HO.iHA",16,2020-05-12,2020-06-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-11,19,"HO.pHA",8,2020-05-07,2020-07-16,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-11,19,"Unlinked",14,2020-05-14,2020-05-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-18,20,"CO",13,2020-05-23,2020-06-10,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-18,20,"HO.HA",4,2020-04-14,2020-06-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-18,20,"HO.iHA",7,2020-05-16,2020-07-07,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-18,20,"HO.pHA",4,2020-05-13,2020-07-22,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-18,20,"Unlinked",0,2020-05-14,2020-05-18,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-25,21,"CO",13,2020-06-07,2020-06-11,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-25,21,"HO.pHA",16,2020-05-21,2020-06-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-05-25,21,"Unlinked",15,2020-05-18,2020-06-11,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-01,22,"CO",7,2020-06-02,2020-07-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-01,22,"HO.HA",8,2020-04-27,2020-06-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-01,22,"HO.pHA",14,2020-05-29,2020-07-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-01,22,"Unlinked",14,2020-05-18,2020-05-26,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-08,23,"CO",11,2020-06-10,2020-06-29,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-08,23,"HO.iHA",5,2020-06-11,2020-06-25,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-08,23,"HO.pHA",3,2020-05-31,2020-06-16,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-08,23,"Unlinked",11,2020-05-06,2020-05-28,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-15,24,"CO",3,2020-06-19,2020-07-05,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-15,24,"HO.pHA",7,2020-06-07,2020-06-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-15,24,"Unlinked",8,2020-06-13,2020-05-30,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-22,25,"CO",9,2020-06-26,2020-07-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-22,25,"HO.iHA",2,2020-06-19,NA,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-22,25,"Unlinked",8,2020-05-09,2020-05-22,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-29,26,"CO",10,2020-07-03,2020-07-10,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-06-29,26,"Unlinked",11,NA,2020-07-20,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-07-06,27,"Unlinked",8,NA,NA,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-07-20,29,"CO",1,2020-07-19,2020-07-31,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-07-20,29,"Unlinked",9,NA,NA,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3407","RFN",2020-07-27,30,"Unlinked",10,2020-07-18,2020-07-20,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-16,11,"CO",9,2020-03-21,2020-03-30,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-16,11,"HO.HA",8,2020-03-04,2020-04-06,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-16,11,"HO.iHA",13,2020-03-17,2020-03-27,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-23,12,"CO",22,2020-03-31,2020-06-26,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-23,12,"HO.iHA",7,2020-03-24,2020-04-12,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-23,12,"HO.pHA",6,2020-03-17,2020-04-04,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-23,12,"Unlinked",13,2019-12-27,2020-02-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-30,13,"CO",41,2020-04-09,2020-05-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-30,13,"HO.HA",8,2020-03-16,2020-04-29,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-30,13,"HO.iHA",17,2020-03-31,2020-04-15,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-30,13,"HO.pHA",5,2020-03-22,2020-04-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-03-30,13,"Unlinked",18,2020-04-04,2020-04-17,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-06,14,"CO",56,2020-04-19,2020-06-05,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-06,14,"HO.HA",7,2020-03-22,2020-05-06,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-06,14,"HO.iHA",7,2020-04-09,2020-04-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-06,14,"HO.pHA",17,2020-04-02,2020-04-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-06,14,"Unlinked",19,2020-05-30,2020-06-18,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-13,15,"CO",26,2020-04-25,2020-07-02,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-13,15,"HO.HA",1,2020-03-29,2020-07-14,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-13,15,"HO.iHA",0,2020-04-15,2020-04-20,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-13,15,"HO.pHA",5,2020-04-03,NA,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-13,15,"Unlinked",13,2020-05-11,2020-05-12,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-20,16,"CO",17,2020-05-03,2020-05-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-20,16,"HO.HA",6,2020-04-06,2020-06-20,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-20,16,"HO.iHA",10,2020-04-22,2020-04-25,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-20,16,"HO.pHA",6,2020-04-10,2020-05-11,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-20,16,"Unlinked",31,2020-07-31,2020-06-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-27,17,"CO",27,2020-05-13,2020-06-10,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-27,17,"HO.HA",3,2020-03-19,2020-05-13,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-27,17,"HO.iHA",6,2020-04-30,2020-05-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-27,17,"HO.pHA",1,2020-04-20,2020-05-01,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-04-27,17,"Unlinked",20,2020-04-29,2020-07-31,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-04,18,"CO",41,2020-05-15,2020-06-05,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-04,18,"HO.iHA",16,2020-04-29,2020-05-08,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-04,18,"HO.pHA",14,2020-04-26,2020-05-11,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-04,18,"Unlinked",18,2020-07-23,2020-04-25,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-11,19,"CO",9,2020-05-22,2020-05-23,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-11,19,"HO.HA",10,2020-04-27,2020-05-13,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-11,19,"HO.iHA",9,2020-05-05,2020-05-27,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-11,19,"Unlinked",7,2019-12-18,NA,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-18,20,"CO",11,2020-05-26,2020-05-31,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-18,20,"HO.HA",7,2020-04-25,2020-06-13,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-18,20,"HO.iHA",4,2020-05-20,2020-06-10,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-18,20,"HO.pHA",4,2020-05-15,2020-06-03,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-18,20,"Unlinked",0,2020-05-19,2020-05-21,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-25,21,"CO",14,2020-05-30,2020-07-24,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-25,21,"HO.iHA",11,2020-05-21,2020-05-28,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-05-25,21,"Unlinked",1,NA,NA,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-06-01,22,"CO",5,2020-06-08,2020-06-13,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-06-01,22,"HO.iHA",3,2020-05-25,2020-06-07,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-06-08,23,"CO",9,2020-06-10,2020-06-10,TRUE
"MIDLANDS","ACUTE","NHS TRUST 3488","LJL",2020-06-08,23,"Unlinked",6,NA,2020-05-28,TRUE
